ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0010638	positive regulation of organelle organization	5/78	25/1474	0.00840971819741655	0.0661712037112513	0.0546670508862535	YER016W/YNL138W/YGL003C/YOR014W/YLR182W	5
BP	GO:0033554	cellular response to stress	28/78	349/1474	0.00852177703116289	0.0664698608430705	0.0549137851710634	YOR141C/YPL008W/YMR078C/YPR135W/YDR363W/YKL143W/YLR320W/YMR224C/YKL057C/YML103C/YAR002W/YCR066W/YKL113C/YNL250W/YML032C/YGL163C/YDR004W/YPL024W/YOR014W/YHR154W/YLL002W/YDR159W/YMR190C/YDL013W/YER116C/YOL072W/YHR134W/YGL060W	28
BP	GO:0006950	response to stress	29/78	367/1474	0.00903580436141124	0.0698716940705679	0.0577241948315201	YOR141C/YPL008W/YMR078C/YPR135W/YDR363W/YKL143W/YLR320W/YMR224C/YKL057C/YML103C/YAR002W/YCR066W/YKL113C/YNL250W/YML032C/YGL163C/YDR004W/YPL024W/YOR014W/YHR154W/YLL002W/YDR159W/YMR190C/YDL013W/YER116C/YOL072W/YER151C/YHR134W/YGL060W	29
BP	GO:0140013	meiotic nuclear division	10/78	82/1474	0.00912991305456662	0.0699960000850108	0.0578268897023383	YEL061C/YDR318W/YLR320W/YMR224C/YNL250W/YML032C/YGL163C/YMR190C/YLR182W/YLR234W	10
BP	GO:0061982	meiosis I cell cycle process	9/78	70/1474	0.00949717538235001	0.0716597767663872	0.059201411539678	YDR318W/YMR224C/YNL250W/YML032C/YGL163C/YDR004W/YMR190C/YLR182W/YLR234W	9
BP	GO:0014070	response to organic cyclic compound	3/78	9/1474	0.00950670394113721	0.0716597767663872	0.059201411539678	YKL057C/YML103C/YAR002W	3
BP	GO:0031570	DNA integrity checkpoint signaling	6/78	36/1474	0.0098604384905597	0.0736750826292933	0.0608663476747316	YAL021C/YPL008W/YDR363W/YMR224C/YHR154W/YMR190C	6
BP	GO:1901987	regulation of cell cycle phase transition	10/78	83/1474	0.00993833333126476	0.0736750826292933	0.0608663476747316	YER016W/YAL021C/YGL003C/YPL008W/YPL018W/YDR363W/YMR224C/YOR014W/YHR154W/YMR190C	10
BP	GO:0008361	regulation of cell size	4/78	17/1474	0.0101984817671575	0.0743742938629292	0.0614439979809918	YHR034C/YNL248C/YLR403W/YDR457W	4
BP	GO:0032508	DNA duplex unwinding	4/78	17/1474	0.0101984817671575	0.0743742938629292	0.0614439979809918	YPL008W/YCR066W/YNL250W/YMR190C	4
BP	GO:0070647	protein modification by small protein conjugation or removal	13/78	124/1474	0.0107905217940871	0.0780572423330331	0.0644866497711146	YNR051C/YFR036W/YGL003C/YGL240W/YDR363W/YER068W/YAR002W/YCR066W/YDL013W/YER116C/YDR457W/YER151C/YHR134W	13
BP	GO:0033044	regulation of chromosome organization	5/78	27/1474	0.0117585751199498	0.0843795350607594	0.06970978429006	YGL003C/YEL061C/YPL018W/YLR233C/YOR001W	5
BP	GO:0010564	regulation of cell cycle process	13/78	126/1474	0.0123049395939624	0.0875671674888016	0.0723432328957535	YER016W/YAL021C/YGL003C/YPL008W/YEL061C/YPL018W/YDR363W/YDR318W/YMR224C/YOR014W/YHR154W/YMR190C/YLR182W	13
BP	GO:0007059	chromosome segregation	9/78	73/1474	0.0124472027275138	0.0875671674888016	0.0723432328957535	YER016W/YGL003C/YEL061C/YPL018W/YLR320W/YLR315W/YNL250W/YOR014W/YMR190C	9
BP	GO:0031577	spindle checkpoint signaling	4/78	18/1474	0.0125932715786571	0.0875671674888016	0.0723432328957535	YER016W/YGL003C/YPL018W/YOR014W	4
BP	GO:0071174	mitotic spindle checkpoint signaling	4/78	18/1474	0.0125932715786571	0.0875671674888016	0.0723432328957535	YER016W/YGL003C/YPL018W/YOR014W	4
BP	GO:0007346	regulation of mitotic cell cycle	9/78	74/1474	0.0135692270389499	0.0936276665687544	0.0773500877362003	YER016W/YAL021C/YGL003C/YPL008W/YPL018W/YDR363W/YMR224C/YOR014W/YMR190C	9
CC	GO:0140513	nuclear protein-containing complex	35/78	285/1474	1.04156845790208e-07	1.73941932469648e-05	1.3156654205079e-05	YOR141C/YAL021C/YFR036W/YGL003C/YMR078C/YPL018W/YPR135W/YHR191C/YCL016C/YGL240W/YGR271C-A/YLR233C/YIL009C-A/YLR052W/YEL044W/YDR318W/YML062C/YMR224C/YKL057C/YML103C/YAR002W/YNL250W/YDR004W/YJR063W/YNL248C/YOR001W/YDR159W/YDL013W/YER116C/YLR182W/YDR395W/YOL072W/YHR167W/TLC1/YOR295W	35
CC	GO:1990904	ribonucleoprotein complex	17/78	79/1474	2.10451024361834e-07	1.75726605342131e-05	1.32916436439053e-05	YNR051C/YOR078W/YMR014W/YGL078C/YGR271C-A/YLR233C/YIL009C-A/YDR174W/YKL143W/YDL213C/YDR432W/YHR034C/YLR048W/YKR057W/YDR083W/YGR081C/TLC1	17
CC	GO:0031981	nuclear lumen	30/78	235/1474	6.09408514051399e-07	3.26770207489885e-05	2.47163094224937e-05	YOR141C/YOR078W/YMR014W/YAL021C/YMR078C/YPL018W/YPR135W/YGL078C/YGR271C-A/YLR233C/YDR174W/YLR052W/YEL044W/YDR318W/YML062C/YDL213C/YKL113C/YNL250W/YML032C/YPL024W/YJR063W/YNL248C/YOR001W/YDR083W/YMR190C/YGR081C/YHR167W/YMR269W/YDR457W/YOR295W	30
CC	GO:0005730	nucleolus	17/78	86/1474	7.826831317123e-07	3.26770207489885e-05	2.47163094224937e-05	YOR078W/YMR014W/YGL078C/YGR271C-A/YLR233C/YDR174W/YDL213C/YKL113C/YJR063W/YNL248C/YOR001W/YDR083W/YMR190C/YGR081C/YMR269W/YDR457W/YOR295W	17
CC	GO:0031974	membrane-enclosed lumen	30/78	272/1474	1.57736641173506e-05	0.000376314558228221	0.000284637547982266	YOR141C/YOR078W/YMR014W/YAL021C/YMR078C/YPL018W/YPR135W/YGL078C/YGR271C-A/YLR233C/YDR174W/YLR052W/YEL044W/YDR318W/YML062C/YDL213C/YKL113C/YNL250W/YML032C/YPL024W/YJR063W/YNL248C/YOR001W/YDR083W/YMR190C/YGR081C/YHR167W/YMR269W/YDR457W/YOR295W	30
CC	GO:0043233	organelle lumen	30/78	272/1474	1.57736641173506e-05	0.000376314558228221	0.000284637547982266	YOR141C/YOR078W/YMR014W/YAL021C/YMR078C/YPL018W/YPR135W/YGL078C/YGR271C-A/YLR233C/YDR174W/YLR052W/YEL044W/YDR318W/YML062C/YDL213C/YKL113C/YNL250W/YML032C/YPL024W/YJR063W/YNL248C/YOR001W/YDR083W/YMR190C/YGR081C/YHR167W/YMR269W/YDR457W/YOR295W	30
CC	GO:0070013	intracellular organelle lumen	30/78	272/1474	1.57736641173506e-05	0.000376314558228221	0.000284637547982266	YOR141C/YOR078W/YMR014W/YAL021C/YMR078C/YPL018W/YPR135W/YGL078C/YGR271C-A/YLR233C/YDR174W/YLR052W/YEL044W/YDR318W/YML062C/YDL213C/YKL113C/YNL250W/YML032C/YPL024W/YJR063W/YNL248C/YOR001W/YDR083W/YMR190C/YGR081C/YHR167W/YMR269W/YDR457W/YOR295W	30
CC	GO:0030684	preribosome	9/78	32/1474	2.13511282877047e-05	0.000445704803005835	0.000337123078226916	YOR078W/YMR014W/YGL078C/YGR271C-A/YDR174W/YKL143W/YDL213C/YDR083W/YGR081C	9
CC	GO:0000776	kinetochore	8/78	29/1474	7.46315343181225e-05	0.00138482958123627	0.00104746013078067	YEL061C/YPL018W/YDR318W/YLR315W/YOR014W/YDL013W/YER116C/YGL060W	8
CC	GO:0031390	Ctf18 RFC-like complex	3/78	3/1474	0.000142820608724728	0.00216827651427542	0.00164004526765238	YMR078C/YHR191C/YCL016C	3
CC	GO:0031422	RecQ family helicase-topoisomerase III complex	3/78	3/1474	0.000142820608724728	0.00216827651427542	0.00164004526765238	YPL024W/YMR190C/YLR234W	3
CC	GO:0000779	condensed chromosome, centromeric region	8/78	32/1474	0.000160578472392254	0.00223471707412554	0.00169029970939215	YEL061C/YPL018W/YDR318W/YLR315W/YOR014W/YDL013W/YER116C/YGL060W	8
CC	GO:0000152	nuclear ubiquitin ligase complex	5/78	12/1474	0.000216058930762156	0.00277552626440615	0.00209935803169706	YFR036W/YGL003C/YGL240W/YDL013W/YER116C	5
CC	GO:0005694	chromosome	30/78	311/1474	0.000237842633732463	0.00282799328828876	0.00213904314273338	YOR141C/YPL008W/YEL061C/YMR078C/YPL018W/YPR135W/YHR191C/YCL016C/YLR233C/YIL009C-A/YDR174W/YLR052W/YEL044W/YDR318W/YML062C/YMR070W/YMR224C/YLR315W/YKL057C/YCR066W/YNL250W/YML032C/YPL024W/YDR083W/YOR014W/YMR190C/YDL013W/YER116C/YLR234W/YGL060W	30
CC	GO:0098687	chromosomal region	15/78	106/1474	0.000254011373199589	0.00282799328828876	0.00213904314273338	YEL061C/YPL018W/YCL016C/YLR233C/YIL009C-A/YLR052W/YDR318W/YML062C/YLR315W/YKL057C/YDR083W/YOR014W/YDL013W/YER116C/YGL060W	15
CC	GO:0030686	90S preribosome	5/78	13/1474	0.000336627371950872	0.00351354819473723	0.00265758451540162	YOR078W/YMR014W/YDL213C/YDR083W/YGR081C	5
CC	GO:0000775	chromosome, centromeric region	9/78	45/1474	0.000383416235083945	0.00376650066229522	0.00284891320186213	YEL061C/YPL018W/YCL016C/YDR318W/YLR315W/YOR014W/YDL013W/YER116C/YGL060W	9
CC	GO:0030688	preribosome, small subunit precursor	3/78	4/1474	0.000549436998486226	0.00509755437484443	0.00385569823499106	YGR271C-A/YKL143W/YGR081C	3
CC	GO:0005697	telomerase holoenzyme complex	3/78	5/1474	0.00132117830966621	0.0113080924439127	0.0085532372724206	YLR233C/YIL009C-A/TLC1	3
CC	GO:0000793	condensed chromosome	9/78	53/1474	0.00135426256813326	0.0113080924439127	0.0085532372724206	YEL061C/YPL018W/YDR318W/YLR315W/YNL250W/YOR014W/YDL013W/YER116C/YGL060W	9
CC	GO:0099080	supramolecular complex	13/78	105/1474	0.00251468204737082	0.0177675775906618	0.0134390753916131	YER016W/YNR051C/YAL021C/YEL061C/YPL018W/YMR294W/YDR318W/YLR315W/YDR432W/YOR014W/YDL013W/YER116C/YGL060W	13
CC	GO:0000446	nucleoplasmic THO complex	2/78	2/1474	0.00276620968477369	0.0177675775906618	0.0134390753916131	YML062C/YHR167W	2
CC	GO:0000817	COMA complex	2/78	2/1474	0.00276620968477369	0.0177675775906618	0.0134390753916131	YPL018W/YDR318W	2
CC	GO:0032040	small-subunit processome	2/78	2/1474	0.00276620968477369	0.0177675775906618	0.0134390753916131	YOR078W/YDR174W	2
CC	GO:0033768	SUMO-targeted ubiquitin ligase complex	2/78	2/1474	0.00276620968477369	0.0177675775906618	0.0134390753916131	YDL013W/YER116C	2
CC	GO:1990861	Ubp3-Bre5 deubiquitination complex	2/78	2/1474	0.00276620968477369	0.0177675775906618	0.0134390753916131	YNR051C/YER151C	2
CC	GO:0005680	anaphase-promoting complex	3/78	7/1474	0.00427905680094184	0.0264667587317514	0.0200189791856928	YFR036W/YGL003C/YGL240W	3
CC	GO:0005643	nuclear pore	5/78	24/1474	0.00701389043418743	0.0393579108458105	0.0297696142546313	YKL057C/YML103C/YAR002W/YDR159W/YDR395W	5
CC	GO:0000346	transcription export complex	2/78	3/1474	0.0080129878368716	0.0393579108458105	0.0297696142546313	YML062C/YHR167W	2
CC	GO:0000347	THO complex	2/78	3/1474	0.0080129878368716	0.0393579108458105	0.0297696142546313	YML062C/YHR167W	2
CC	GO:0000445	THO complex part of transcription export complex	2/78	3/1474	0.0080129878368716	0.0393579108458105	0.0297696142546313	YML062C/YHR167W	2
CC	GO:0005736	RNA polymerase I complex	2/78	3/1474	0.0080129878368716	0.0393579108458105	0.0297696142546313	YJR063W/YNL248C	2
CC	GO:0030870	Mre11 complex	2/78	3/1474	0.0080129878368716	0.0393579108458105	0.0297696142546313	YMR224C/YNL250W	2
CC	GO:0035361	Cul8-RING ubiquitin ligase complex	2/78	3/1474	0.0080129878368716	0.0393579108458105	0.0297696142546313	YLR320W/YHR154W	2
CC	GO:0031011	Ino80 complex	3/78	10/1474	0.0130684954518273	0.0623553925844332	0.0471644948637377	YOR141C/YLR052W/YEL044W	3
CC	GO:0031461	cullin-RING ubiquitin ligase complex	5/78	28/1474	0.0137325495732051	0.0637037716312569	0.0481843844673862	YFR036W/YGL003C/YGL240W/YLR320W/YHR154W	5
CC	GO:0015935	small ribosomal subunit	2/78	4/1474	0.015476538675257	0.0662713322761004	0.0501264410534639	YLR048W/YKR057W	2
CC	GO:0022627	cytosolic small ribosomal subunit	2/78	4/1474	0.015476538675257	0.0662713322761004	0.0501264410534639	YLR048W/YKR057W	2
CC	GO:0070390	transcription export complex 2	2/78	4/1474	0.015476538675257	0.0662713322761004	0.0501264410534639	YDR159W/YOL072W	2
CC	GO:0000151	ubiquitin ligase complex	8/78	64/1474	0.0169273811533931	0.0706718163154162	0.0534548878528203	YFR036W/YGL003C/YGL240W/YLR320W/YCR066W/YHR154W/YDL013W/YER116C	8
CC	GO:0055029	nuclear DNA-directed RNA polymerase complex	3/78	12/1474	0.0221908316426437	0.0903870459590609	0.0683671321467842	YAL021C/YJR063W/YNL248C	3
MF	GO:0003691	double-stranded telomeric DNA binding	3/78	3/1474	0.000142820608724728	0.0329915606154123	0.0284137842620776	YMR224C/YDR432W/YNL250W	3
MF	GO:0140640	catalytic activity, acting on a nucleic acid	18/78	151/1474	0.000526086369662097	0.0518553094962396	0.0446600751642255	YAL021C/YPL008W/YMR078C/YGL078C/YIL009C-A/YMR224C/YCR066W/YKL113C/YML032C/YGL163C/YDR004W/YJR063W/YNL248C/YOR001W/YDR083W/YMR190C/TLC1/YLR234W	18
MF	GO:0003697	single-stranded DNA binding	7/78	30/1474	0.000673445577873241	0.0518553094962396	0.0446600751642255	YLR233C/YMR224C/YCR066W/YNL250W/YML032C/YDR004W/YPL024W	7
MF	GO:0042162	telomeric DNA binding	5/78	17/1474	0.00136823545931794	0.0790155977756112	0.0680517110029187	YLR233C/YIL009C-A/YMR224C/YDR432W/YNL250W	5
MF	GO:0140097	catalytic activity, acting on DNA	12/78	89/1474	0.0017771910174308	0.0798743046478402	0.0687912671608193	YPL008W/YMR078C/YIL009C-A/YMR224C/YCR066W/YKL113C/YML032C/YGL163C/YDR004W/YMR190C/TLC1/YLR234W	12
MF	GO:0004017	adenylate kinase activity	2/78	2/1474	0.00276620968477369	0.0798743046478402	0.0687912671608193	YMR224C/YNL250W	2
MF	GO:0030515	snoRNA binding	2/78	2/1474	0.00276620968477369	0.0798743046478402	0.0687912671608193	YOR078W/YDL213C	2
MF	GO:0050145	nucleoside monophosphate kinase activity	2/78	2/1474	0.00276620968477369	0.0798743046478402	0.0687912671608193	YMR224C/YNL250W	2
