Geneid,Chr,Start,End,Strand,Length
YGR031C-A,VII,546809,547300,-,492
YGR032W,VII,548264,553951,+,5688
YGR033C,VII,554248,554967,-,720
YGR034W,VII;VII,555812;556308,555830;556672,+;+,384
YGR035C,VII,557072,557422,-,351
YGR035W-A,VII,557565,557786,+,222
YGR036C,VII,558149,558868,-,720
YGR037C,VII,559731,559994,-,264
YGR038W,VII,560682,561350,+,669
tS(AGA)G,VII,561662,561743,-,82
YGR038C-B,VII;VII,562199;566163,566161;567467,-;-,5268
YGR038C-A,VII,566145,567467,-,1323
YGR039W,VII,574888,575199,+,312
YGR040W,VII,575398,576504,+,1107
YGR041W,VII,577487,579130,+,1644
YGR042W,VII,579476,580291,+,816
YGR043C,VII,580435,581436,-,1002
YGR044C,VII,582990,583892,-,903
YGR045C,VII,583934,584296,-,363
YGR046W,VII,584895,586052,+,1158
YGR047C,VII,586392,589469,-,3078
YGR048W,VII,589826,590911,+,1086
YGR049W,VII,591314,591877,+,564
YGR050C,VII,592086,592442,-,357
YGR051C,VII,592906,593229,-,324
YGR052W,VII,593596,594705,+,1110
YGR053C,VII,594986,595837,-,852
YGR054W,VII,596693,598621,+,1929
YGR055W,VII,599417,601141,+,1725
YGR056W,VII,601661,604447,+,2787
YGR057C,VII,604773,605501,-,729
YGR058W,VII,606136,607143,+,1008
YGR059W,VII,607563,609101,+,1539
snR48,VII,609584,609696,+,113
YGR060W,VII,610564,611493,+,930
YGR061C,VII,611889,615965,-,4077
YGR062C,VII,616328,617278,-,951
YGR063C,VII,617516,617824,-,309
YGR064W,VII,617621,617989,+,369
YGR065C,VII,618077,619858,-,1782
YGR066C,VII,620921,621799,-,879
YGR067C,VII,622372,624786,-,2415
YGR068C,VII,625324,627084,-,1761
YGR068W-A,VII,626294,626389,+,96
YGR069W,VII,627083,627418,+,336
YGR070W,VII,627806,631273,+,3468
YGR071C,VII,631481,634063,-,2583
YGR072W,VII,634304,635467,+,1164
YGR073C,VII,635615,635986,-,372
YGR074W,VII,635712,636152,+,441
YGR075C,VII,636147,636875,-,729
YGR076C,VII,637104,637577,-,474
YGR077C,VII,637744,639513,-,1770
YGR078C,VII,639772,640371,-,600
YGR079W,VII,640720,641832,+,1113
YGR080W,VII,642010,643008,+,999
YGR081C,VII,643148,643780,-,633
YGR082W,VII,644044,644595,+,552
YGR083C,VII,644860,646815,-,1956
YGR084C,VII,647123,648142,-,1020
YGR085C,VII,648383,648907,-,525
YGR086C,VII,649598,650617,-,1020
YGR087C,VII,651290,652981,-,1692
YGR088W,VII,654634,656322,+,1689
YGR089W,VII,656960,659770,+,2811
tT(UGU)G1,VII,661749,661820,+,72
YGR090W,VII,662358,666071,+,3714
YGR091W,VII,666341,667825,+,1485
YGR092W,VII,668189,669907,+,1719
YGR093W,VII,670388,671911,+,1524
YGR094W,VII,672186,675500,+,3315
YGR095C,VII,675671,676342,-,672
YGR096W,VII,676621,677565,+,945
YGR097W,VII,678695,682135,+,3441
YGR098C,VII,682566,687458,-,4893
YGR099W,VII,687899,689965,+,2067
YGR100W,VII,690245,693097,+,2853
YGR101W,VII,693363,694403,+,1041
YGR102C,VII,694584,695135,-,552
YGR103W,VII,695417,697234,+,1818
YGR104C,VII,697445,698368,-,924
YGR105W,VII,698599,698832,+,234
YGR106C,VII,698989,699786,-,798
tL(GAG)G,VII,700675,700756,+,82
tK(UUU)G2,VII;VII,700953;701012,700988;701048,-;-,73
YGR107W,VII,702667,703116,+,450
YGR108W,VII,703636,705051,+,1416
YGR109C,VII,705359,706501,-,1143
tC(GCA)G,VII,707108,707179,-,72
YGR109W-A,VII,707610,708482,+,873
YGR109W-B,VII;VII,707610;708461,708459;712254,+;+,4644
YGR110W,VII,713709,715046,+,1338
YGR111W,VII,715828,717030,+,1203
YGR112W,VII,717358,718527,+,1170
YGR113W,VII,718893,719924,+,1032
YGR114C,VII,720265,720654,-,390
YGR115C,VII,720372,721151,-,780
YGR116W,VII,720409,724764,+,4356
YGR117C,VII,725049,726479,-,1431
YGR118W,VII;VII,726974;727358,727038;727730,+;+,438
YGR119C,VII,728046,729671,-,1626
YGR120C,VII,730033,730821,-,789
tN(GUU)G,VII,731137,731210,+,74
YGR121C,VII,731449,732927,-,1479
YGR121W-A,VII,733412,733627,+,216
YGR122W,VII,733935,735143,+,1209
YGR122C-A,VII,735630,735758,-,129
tR(UCU)G3,VII,736340,736411,+,72
YGR123C,VII,736662,738203,-,1542
tI(AAU)G,VII,739122,739195,+,74
YGR124W,VII,739944,741662,+,1719
YGR125W,VII,742325,745435,+,3111
YGR126W,VII,745835,746527,+,693
YGR127W,VII,746798,747736,+,939
YGR128C,VII,747950,750091,-,2142
YGR129W,VII,750400,751047,+,648
YGR130C,VII,751394,753844,-,2451
YGR131W,VII,754726,755250,+,525
YGR132C,VII,755589,756452,-,864
YGR133W,VII,756896,757447,+,552
YGR134W,VII,757770,761138,+,3369
YGR135W,VII,761392,762168,+,777
YGR136W,VII,762428,763153,+,726
YGR137W,VII,762888,763262,+,375
YGR138C,VII,763762,765606,-,1845
YGR139W,VII,765726,766064,+,339
YGR140W,VII,767429,770299,+,2871
YGR141W,VII,770569,771972,+,1404
YGR142W,VII,772454,773686,+,1233
tA(AGC)G,VII,774349,774421,+,73
YGR143W,VII,775193,777508,+,2316
tG(UCC)G,VII,779616,779687,+,72
YGR144W,VII,780399,781379,+,981
YGR145W,VII,781767,783890,+,2124
YGR146C,VII,784223,784858,-,636
YGR146C-A,VII,785276,785437,-,162
YGR147C,VII,786054,786920,-,867
YGR148C,VII,787312,787779,-,468
YGR149W,VII,789031,790329,+,1299
YGR150C,VII,790459,793053,-,2595
tA(UGC)G,VII,794417,794489,+,73
YGR151C,VII,794655,794990,-,336
YGR152C,VII,794674,795492,-,819
YGR153W,VII,796092,796745,+,654
YGR154C,VII,796798,797868,-,1071
YGR155W,VII,798543,800066,+,1524
YGR156W,VII,800546,801823,+,1278
YGR157W,VII,802440,805049,+,2610
YGR158C,VII,805269,806021,-,753
YGR159C,VII,806412,807656,-,1245
YGR160W,VII,807073,807684,+,612
YGR161C,VII,808629,809420,-,792
YGR161W-C,VII,810227,810505,+,279
YGR161W-A,VII,811738,813054,+,1317
YGR161W-B,VII;VII,811738;813032,813030;817051,+;+,5313
YGR161C-D,VII;VII,817747;821711,821709;823015,-;-,5268
YGR161C-C,VII,821693,823015,-,1323
tV(AAC)G2,VII,823482,823555,+,74
YGR162W,VII,824059,826917,+,2859
YGR163W,VII,827552,828577,+,1026
YGR164W,VII,828625,828960,+,336
tR(UCU)G2,VII,828723,828794,-,72
YGR165W,VII,829116,830153,+,1038
YGR166W,VII,830515,832197,+,1683
YGR167W,VII,832456,833157,+,702
YGR168C,VII,833352,834482,-,1131
YGR169C,VII,834689,835903,-,1215
YGR169C-A,VII,836387,836665,-,279
YGR170W,VII,837142,840558,+,3417
YGR171C,VII,840824,842551,-,1728
YGR172C,VII,842845,843591,-,747
YGR173W,VII,843854,844960,+,1107
tG(GCC)G1,VII,845649,845719,+,71
YGR174C,VII,845893,846405,-,513
YGR174W-A,VII,846655,846741,+,87
YGR175C,VII,846933,848423,-,1491
YGR176W,VII,848720,849067,+,348
YGR177C,VII,848829,850436,-,1608
YGR178C,VII,851047,853215,-,2169
YGR179C,VII,853675,854895,-,1221
YGR180C,VII,855264,856301,-,1038
tL(CAA)G3,VII;VII,857378;857454,857421;857491,-;-,82
YGR181W,VII,858287,858604,+,318
YGR182C,VII,858551,858904,-,354
YGR183C,VII;VII,859063;859474,859260;859476,-;-,201
YGR184C,VII,859901,865753,-,5853
YGR185C,VII,866336,867520,-,1185
YGR186W,VII,867774,869981,+,2208
YGR187C,VII,870232,871416,-,1185
YGR188C,VII,872044,875109,-,3066
tK(CUU)G3,VII,876394,876466,+,73
YGR189C,VII,876669,878192,-,1524
tW(CCA)G2,VII;VII,878710;878780,878745;878815,-;-,72
YGR190C,VII,880296,880661,-,366
YGR191W,VII,880420,882231,+,1812
YGR192C,VII,882812,883810,-,999
YGR193C,VII,884509,885741,-,1233
YGR194C,VII,886073,887875,-,1803
YGR195W,VII,888882,889622,+,741
YGR196C,VII,889733,892186,-,2454
YGR197C,VII,892497,894140,-,1644
YGR198W,VII,894693,897146,+,2454
YGR199W,VII,897502,899781,+,2280
YGR200C,VII,899904,902270,-,2367
YGR201C,VII,902520,903197,-,678
YGR202C,VII,903474,904748,-,1275
YGR203W,VII,905237,905683,+,447
YGR204W,VII,905934,908774,+,2841
YGR204C-A,VII,909061,909174,-,114
YGR205W,VII,909213,910085,+,873
YGR206W,VII,910432,910737,+,306
YGR207C,VII,910843,911628,-,786
YGR208W,VII,911883,912812,+,930
YGR209C,VII,912913,913227,-,315
YGR210C,VII,913503,914738,-,1236
YGR211W,VII,915241,916701,+,1461
YGR212W,VII,917040,918446,+,1407
YGR213C,VII,918512,919465,-,954
YGR214W,VII;VII,920575;921120,920664;921788,+;+,759
YGR215W,VII,922175,922507,+,333
YGR216C,VII,922633,924462,-,1830
YGR217W,VII,924696,930815,+,6120
tG(GCC)G2,VII,930953,931023,-,71
YGR218W,VII,932541,935795,+,3255
YGR219W,VII,936035,936376,+,342
YGR220C,VII,936074,936883,-,810
YGR221C,VII,937124,938992,-,1869
snR7-L,VII,939459,939672,-,214
snR7-S,VII,939494,939672,-,179
YGR222W,VII,939923,940804,+,882
YGR223C,VII,940869,942215,-,1347
YGR224W,VII,942806,944647,+,1842
YGR225W,VII;VII,945145;946421,946327;947019,+;+,1782
YGR226C,VII,946792,947001,-,210
YGR227W,VII,947420,948997,+,1578
YGR228W,VII,949365,949709,+,345
YGR229C,VII,949382,950899,-,1518
YGR230W,VII,951894,952307,+,414
YGR231C,VII,952548,953480,-,933
YGR232W,VII,953960,954646,+,687
YGR233C,VII,954674,958210,-,3537
YGR234W,VII,959904,961103,+,1200
YGR235C,VII,961360,962061,-,702
YGR236C,VII,962530,962817,-,288
YGR237C,VII,963298,965655,-,2358
YGR238C,VII,966039,968687,-,2649
YGR239C,VII,969187,970053,-,867
YGR240C,VII,970771,973734,-,2964
YGR240C-A,VII,974577,974777,-,201
YGR241C,VII,974875,976581,-,1707
YGR242W,VII,976415,976723,+,309
YGR243W,VII,977336,977776,+,441
YGR244C,VII,978036,979319,-,1284
YGR245C,VII,979765,982068,-,2304
YGR246C,VII,982482,984272,-,1791
YGR247W,VII,984966,985685,+,720
YGR248W,VII,985972,986739,+,768
YGR249W,VII,988049,989419,+,1371
YGR250C,VII,991176,993521,-,2346
YGR251W,VII,995639,996229,+,591
YGR252W,VII,996869,998188,+,1320
YGR253C,VII,998358,999140,-,783
YGR254W,VII,1000927,1002240,+,1314
YGR255C,VII,1002523,1003962,-,1440
tT(UGU)G2,VII,1004216,1004287,+,72
YGR256W,VII,1004624,1006102,+,1479
YGR257C,VII,1006205,1007305,-,1101
YGR258C,VII,1007671,1010766,-,3096
YGR259C,VII,1012481,1012921,-,441
YGR260W,VII,1012485,1014089,+,1605
YGR261C,VII,1014321,1016750,-,2430
YGR262C,VII,1016974,1017759,-,786
YGR263C,VII,1017967,1019241,-,1275
YGR264C,VII,1019598,1021853,-,2256
YGR265W,VII,1021648,1022058,+,411
YGR266W,VII,1022656,1024761,+,2106
YGR267C,VII,1025004,1025735,-,732
YGR268C,VII,1026057,1026653,-,597
YGR269W,VII,1026636,1026962,+,327
YGR270W,VII,1027370,1031509,+,4140
YGR270C-A,VII,1027382,1027600,-,219
YGR271W,VII,1031791,1037694,+,5904
YGR271C-A,VII,1037800,1038501,-,702
YGR273C,VII,1038715,1039239,-,525
YGR274C,VII,1039895,1043095,-,3201
YGR275W,VII,1043276,1043749,+,474
YGR276C,VII,1043819,1045480,-,1662
YGR277C,VII,1045644,1046561,-,918
YGR278W,VII,1046731,1048464,+,1734
YGR279C,VII,1048798,1049958,-,1161
YGR280C,VII,1050910,1051725,-,816
YGR281W,VII,1052824,1057257,+,4434
YGR282C,VII,1057783,1058724,-,942
YGR283C,VII,1059015,1060040,-,1026
YGR284C,VII,1060658,1061590,-,933
YGR285C,VII,1061852,1063153,-,1302
YGR286C,VII,1063813,1064940,-,1128
YGR287C,VII,1067222,1068991,-,1770
YGR288W,VII,1070293,1071714,+,1422
YGR289C,VII,1073963,1075813,-,1851
YGR290W,VII,1075482,1075925,+,444
YGR291C,VII,1076283,1076504,-,222
YGR292W,VII,1076599,1078353,+,1755
YGR293C,VII,1079885,1080346,-,462
YGR294W,VII,1080306,1080668,+,363
YGR295C,VII,1081584,1082729,-,1146
YGR296W,VII;VII,1084864;1085031,1084882;1090591,+;+,5580
YGR296C-A,VII,1088870,1089445,-,576
YGR296C-B,VII,1089746,1090228,-,483
YLL067C,XII;XII,585;4015,3915;4301,-;-,3618
YLL067W-A,XII,843,1325,+,483
YLL066W-B,XII,5605,5775,+,171
YLL066C,XII;XII,6120;9550,9450;9836,-;-,3618
YLL066W-A,XII,6486,6968,+,483
YLL065W,XII,11726,12076,+,351
YLL064C,XII,13083,13445,-,363
YLL063C,XII,14648,16072,-,1425
YLL062C,XII,16639,17613,-,975
YLL061W,XII,17956,19707,+,1752
YLL060C,XII,21138,21839,-,702
YLL059C,XII,22474,22980,-,507
YLL058W,XII,23569,25296,+,1728
YLL057C,XII,25756,26994,-,1239
YLL056C,XII,27409,28305,-,897
YLL055W,XII,30109,31704,+,1596
YLL054C,XII,32673,35204,-,2532
YLL053C,XII,35503,35961,-,459
YLL052C,XII,35912,36361,-,450
YLL051C,XII,37333,39471,-,2139
YLL050C,XII;XII,39804;40401,40221;40414,-;-,432
YLL049W,XII,40666,41205,+,540
YLL048C,XII,41280,46265,-,4986
YLL047W,XII,46672,47055,+,384
YLL046C,XII,46714,47463,-,750
YLL045C,XII,47859,48629,-,771
YLL044W,XII,48216,48662,+,447
YLL043W,XII,49938,51947,+,2010
YLL042C,XII,52087,52590,-,504
YLL041C,XII,53131,53931,-,801
YLL040C,XII,54211,63645,-,9435
YLL039C,XII,64062,65207,-,1146
YLL038C,XII,65775,66518,-,744
YLL037W,XII,66562,66942,+,381
YLL036C,XII,66745,68256,-,1512
YLL035W,XII,68580,70478,+,1899
YLL034C,XII,70633,73146,-,2514
YLL033W,XII,73409,74101,+,693
YLL032C,XII,74270,76747,-,2478
YLL031C,XII,77152,80205,-,3054
YLL030C,XII,80356,80697,-,342
YLL029W,XII,81461,83710,+,2250
YLL028W,XII,84804,86564,+,1761
YLL027W,XII,87403,88155,+,753
YLL026W,XII,88623,91349,+,2727
tP(UGG)L,XII;XII,92548;92615,92583;92650,+;+,72
YLL025W,XII,94747,95121,+,375
YLL024C,XII,95566,97485,-,1920
YLL023C,XII,97997,98836,-,840
YLL022C,XII,99044,100201,-,1158
YLL021W,XII,100947,105347,+,4401
YLL020C,XII,105556,105861,-,306
YLL019C,XII,105686,107899,-,2214
YLL019W-A,XII,106908,107000,+,93
YLL018C-A,XII,108676,108972,-,297
YLL018C,XII,109902,111575,-,1674
YLL017W,XII,112234,112545,+,312
YLL016W,XII,112847,115993,+,3147
YLL015W,XII,116432,121111,+,4680
YLL014W,XII,121322,121648,+,327
YLL013C,XII,122075,124714,-,2640
YLL012W,XII,125534,127255,+,1722
YLL011W,XII,127523,128992,+,1470
YLL010C,XII,129330,130613,-,1284
YLL009C,XII,131205,131414,-,210
YLL008W,XII,131729,133987,+,2259
YLL007C,XII,134302,136299,-,1998
YLL006W-A,XII,136345,136521,+,177
YLL006W,XII,136586,137866,+,1281
YLL005C,XII,137940,140546,-,2607
YLL004W,XII,141073,142923,+,1851
YLL003W,XII,143201,146041,+,2841
YLL002W,XII,146291,147601,+,1311
YLL001W,XII,147890,150163,+,2274
YLR001C,XII,151389,153977,-,2589
YLR002C,XII,154343,156334,-,1992
YLR003C,XII,156855,157730,-,876
YLR004C,XII,157934,159505,-,1572
YLR005W,XII,160049,161434,+,1386
YLR006C,XII,161755,163893,-,2139
YLR007W,XII,164392,165402,+,1011
YLR008C,XII,165577,166083,-,507
YLR009W,XII,166537,167136,+,600
YLR010C,XII,167320,167802,-,483
tS(AGA)L,XII,167944,168025,-,82
YLR011W,XII,169103,169678,+,576
YLR012C,XII,169982,170281,-,300
YLR013W,XII,171339,171764,+,426
YLR014C,XII,172268,174982,-,2715
YLR015W,XII,175227,176744,+,1518
YLR016C,XII,176802,177416,-,615
YLR017W,XII,177608,178621,+,1014
YLR018C,XII,178707,179606,-,900
YLR019W,XII,180288,181481,+,1194
YLR020C,XII,181789,183405,-,1617
YLR021W,XII,183623,184162,+,540
YLR022C,XII,184174,184926,-,753
YLR023C,XII,185498,187129,-,1632
YLR024C,XII,187663,193281,-,5619
YLR025W,XII,194452,195174,+,723
YLR026C,XII,195450,196472,-,1023
YLR027C,XII,196829,198085,-,1257
snR30,XII,198784,199389,+,606
YLR028C,XII,199540,201315,-,1776
YLR029C,XII,201976,202590,-,615
YLR030W,XII,203290,204081,+,792
YLR031W,XII,204225,204785,+,561
YLR032W,XII,204991,208500,+,3510
YLR033W,XII,208761,210269,+,1509
YLR034C,XII,210512,211933,-,1422
YLR035C,XII,212369,214456,-,2088
tA(UGC)L,XII,214883,214955,-,73
YLR035C-A,XII,215440,218907,-,3468
YLR036C,XII,221521,222132,-,612
YLR037C,XII,222685,223059,-,375
YLR038C,XII,224921,225172,-,252
YLR039C,XII,225426,228596,-,3171
YLR040C,XII,228908,229582,-,675
YLR041W,XII,229377,229697,+,321
YLR042C,XII,229966,230451,-,486
YLR043C,XII,231702,232013,-,312
YLR044C,XII,232390,234081,-,1692
YLR045C,XII,235037,237703,-,2667
YLR046C,XII,238001,238813,-,813
YLR047C,XII,239347,241407,-,2061
YLR048W,XII;XII,242232;242681,242321;243349,+;+,759
YLR049C,XII,243886,245172,-,1287
YLR050C,XII,245587,246072,-,486
YLR051C,XII,246324,246977,-,654
YLR052W,XII,247201,247953,+,753
YLR053C,XII,248100,248426,-,327
YLR054C,XII;XII,248717;250948,250860;250978,-;-,2175
YLR055C,XII,251272,253080,-,1809
YLR056W,XII,253861,254958,+,1098
YLR057W,XII,255306,257855,+,2550
YLR058C,XII,257992,259401,-,1410
YLR059C,XII,259738,260547,-,810
YLR060W,XII,260979,262766,+,1788
YLR061W,XII;XII,263194;263595,263205;263948,+;+,366
YLR062C,XII,263577,263954,-,378
YLR063W,XII,264157,265254,+,1098
YLR064W,XII,265456,266277,+,822
YLR065C,XII,266373,266918,-,546
YLR066W,XII,267169,267723,+,555
YLR067C,XII,267813,270710,-,2898
YLR068W,XII,271008,271463,+,456
YLR069C,XII,271630,273915,-,2286
YLR070C,XII,274141,275211,-,1071
YLR071C,XII,275378,278626,-,3249
YLR072W,XII,278862,280943,+,2082
YLR073C,XII,281019,281621,-,603
YLR074C,XII,281956,282456,-,501
YLR075W,XII,282927,283592,+,666
YLR076C,XII,283185,283607,-,423
YLR077W,XII,283872,285623,+,1752
YLR078C,XII;XII,285736;286557,286467;286559,-;-,735
YLR079W,XII,286820,287674,+,855
YLR080W,XII,287916,289250,+,1335
YLR081W,XII,290212,291936,+,1725
YLR082C,XII,292394,293572,-,1179
YLR083C,XII,294091,296094,-,2004
YLR084C,XII,296589,300251,-,3663
YLR085C,XII,300673,301989,-,1317
YLR086W,XII,302243,306499,+,4257
YLR087C,XII,306855,315731,-,8877
YLR088W,XII,316107,317951,+,1845
YLR089C,XII,318237,320015,-,1779
YLR090W,XII,320701,322080,+,1380
YLR091W,XII,322297,323178,+,882
YLR092W,XII,323544,326225,+,2682
YLR093C,XII;XII,326513;327400,327258;327415,-;-,762
YLR094C,XII,327730,329238,-,1509
YLR095C,XII,329677,332115,-,2439
YLR096W,XII,332590,336033,+,3444
YLR097C,XII,336231,337265,-,1035
YLR098C,XII,337527,339473,-,1947
YLR099C,XII,339744,340928,-,1185
YLR099W-A,XII,341325,341588,+,264
YLR100W,XII,341810,342853,+,1044
YLR101C,XII,342566,342961,-,396
YLR102C,XII,342970,343767,-,798
YLR103C,XII,343989,345941,-,1953
YLR104W,XII,346585,346980,+,396
YLR105C,XII,347047,348180,-,1134
snR79,XII,348427,348510,-,84
YLR106C,XII,349006,363738,-,14733
YLR107W,XII,364116,365330,+,1215
snR6,XII,366235,366346,+,112
YLR108C,XII,366667,368124,-,1458
YLR109W,XII,368781,369311,+,531
YLR110C,XII,369697,370098,-,402
YLR111W,XII,370391,370723,+,333
YLR112W,XII,370791,371210,+,420
YLR113W,XII,371620,372927,+,1308
tR(ACG)L,XII,374355,374427,+,73
YLR114C,XII,374944,377238,-,2295
YLR115W,XII,377985,380564,+,2580
YLR116W,XII,380822,382252,+,1431
YLR117C,XII,382471,384534,-,2064
YLR118C,XII,384725,385408,-,684
YLR119W,XII,385534,386175,+,642
YLR120C,XII,386511,388220,-,1710
YLR120W-A,XII,388672,388773,+,102
YLR121C,XII,388744,390270,-,1527
YLR122C,XII,390954,391331,-,378
YLR123C,XII,391078,391407,-,330
YLR124W,XII,391600,391944,+,345
YLR125W,XII,393484,393894,+,411
YLR126C,XII,394765,395520,-,756
YLR127C,XII,395758,398319,-,2562
YLR128W,XII;XII,398530;398627,398532;399433,+;+,810
YLR129W,XII,399657,402488,+,2832
YLR130C,XII,402794,404062,-,1269
YLR131C,XII,404510,406822,-,2313
YLR132C,XII,407283,408155,-,873
YLR133W,XII,408445,410193,+,1749
YLR134W,XII,410723,412414,+,1692
YLR135W,XII,413281,415527,+,2247
YLR136C,XII,415801,416658,-,858
YLR137W,XII,417006,418109,+,1104
YLR138W,XII,418437,421394,+,2958
YLR139C,XII,421542,423473,-,1932
YLR140W,XII,423474,423800,+,327
YLR141W,XII,423683,424774,+,1092
YLR142W,XII,425186,426616,+,1431
tD(GUC)L1,XII,427132,427203,+,72
YLR143W,XII,427329,429386,+,2058
YLR144C,XII,429677,432016,-,2340
YLR145W,XII,432168,432773,+,606
YLR146C,XII,432823,433725,-,903
YLR146W-A,XII,433870,434058,+,189
YLR147C,XII,434158,434463,-,306
YLR148W,XII,434641,437397,+,2757
YLR149C,XII,437631,439823,-,2193
YLR149C-A,XII,440370,440456,-,87
YLR150W,XII,440467,441288,+,822
YLR151C,XII,441715,442737,-,1023
YLR152C,XII,442958,444688,-,1731
YLR153C,XII,445524,447575,-,2052
YLR154C,XII,447982,448314,-,333
tQ(UUG)L,XII,448650,448721,-,72
RDN25-1,XII,451786,455181,-,3396
RDN37-1,XII;XII;XII,451786;455414;455933,455181;455571;457732,-;-;-,5354
YLR154W-A,XII,452438,452623,+,186
YLR154W-B,XII,454392,454556,+,165
YLR154W-C,XII,454696,455070,+,375
RDN58-1,XII,455414,455571,-,158
YLR154W-E,XII,455433,455636,+,204
YLR154W-F,XII,455883,456023,+,141
RDN18-1,XII,455933,457732,-,1800
RDN5-1,XII,459676,459796,+,121
RDN37-2,XII;XII;XII,460923;464551;465070,464318;464708;466869,-;-;-,5354
RDN25-2,XII,460923,464318,-,3396
YLR154C-G,XII,462522,462671,-,150
RDN58-2,XII,464551,464708,-,158
RDN18-2,XII,465070,466869,-,1800
RDN5-2,XII,468813,468931,+,119
YLR154C-H,XII,468827,468958,-,132
YLR155C,XII,469317,470405,-,1089
YLR156W,XII,472113,472457,+,345
RDN5-3,XII,472465,472583,+,119
YLR156C-A,XII,472479,472610,-,132
YLR157C,XII,472969,474057,-,1089
YLR157W-D,XII,475764,475976,+,213
YLR157C-B,XII;XII,476333;480297,480295;481601,-;-,5268
YLR157C-A,XII,480279,481601,-,1323
YLR157W-E,XII,481873,482037,+,165
RDN5-4,XII,482045,482163,+,119
YLR157C-C,XII,482059,482190,-,132
YLR158C,XII,482549,483637,-,1089
YLR159W,XII,485345,485689,+,345
RDN5-5,XII,485697,485815,+,119
YLR159C-A,XII,485711,485842,-,132
YLR160C,XII,486201,487289,-,1089
YLR161W,XII,488997,489341,+,345
RDN5-6,XII,489349,489469,+,121
YLR162W,XII,489573,489929,+,357
YLR162W-A,XII,490406,490594,+,189
YLR163C,XII,491866,493254,-,1389
YLR163W-A,XII,492812,492925,+,114
YLR164W,XII,493883,494389,+,507
YLR165C,XII,494494,495258,-,765
YLR166C,XII,495429,498044,-,2616
YLR167W,XII,498947,499405,+,459
YLR168C,XII,499578,500270,-,693
YLR169W,XII,500335,500688,+,354
YLR170C,XII,500579,501049,-,471
YLR171W,XII,500733,501122,+,390
YLR172C,XII,501260,502162,-,903
YLR173W,XII,502421,504247,+,1827
YLR174W,XII,504591,505829,+,1239
YLR175W,XII,506134,507585,+,1452
YLR176C,XII,507797,510232,-,2436
YLR177W,XII,511054,512940,+,1887
YLR178C,XII,513162,513821,-,660
YLR179C,XII,514108,514713,-,606
YLR180W,XII,515262,516410,+,1149
YLR181C,XII,516678,517670,-,993
YLR182W,XII,517940,520351,+,2412
YLR183C,XII,520543,522012,-,1470
YLR184W,XII,522106,522453,+,348
YLR185W,XII;XII,522663;523029,522669;523288,+;+,267
YLR186W,XII,523632,524390,+,759
YLR187W,XII,524865,527945,+,3081
YLR188W,XII,528300,530387,+,2088
YLR189C,XII,530797,534393,-,3597
YLR190W,XII,535214,536689,+,1476
YLR191W,XII,537272,538432,+,1161
YLR192C,XII,538792,539589,-,798
YLR193C,XII,540009,540536,-,528
YLR194C,XII,540809,541573,-,765
YLR195C,XII,541937,543304,-,1368
YLR196W,XII,543968,545698,+,1731
YLR197W,XII,546097,547611,+,1515
YLR198C,XII,547286,547645,-,360
YLR199C,XII;XII,547853;548764,548677;548769,-;-,831
YLR200W,XII,549012,549356,+,345
YLR201C,XII,549511,550293,-,783
YLR202C,XII;XII,550194;550575,550458;550636,-;-,327
YLR203C,XII,550650,551960,-,1311
YLR204W,XII,552270,552605,+,336
YLR205C,XII,552724,553677,-,954
YLR206W,XII,554578,556419,+,1842
YLR207W,XII,556788,559289,+,2502
YLR208W,XII,559551,560444,+,894
YLR209C,XII,560797,561732,-,936
YLR210W,XII,562008,563390,+,1383
YLR211C,XII;XII,563792;564514,564454;564531,-;-,681
YLR212C,XII,564860,566281,-,1422
YLR213C,XII,566654,567922,-,1269
YLR214W,XII,568567,570627,+,2061
YLR215C,XII,570776,571858,-,1083
YLR216C,XII,572096,573211,-,1116
YLR217W,XII,572909,573232,+,324
YLR218C,XII,573466,573918,-,453
YLR219W,XII,574151,576337,+,2187
YLR220W,XII,576825,577793,+,969
YLR221C,XII,578362,579024,-,663
YLR222C,XII,579318,581771,-,2454
YLR222C-A,XII,582006,582236,-,231
YLR223C,XII,582233,585490,-,3258
YLR224W,XII,586464,587573,+,1110
YLR225C,XII,587695,588918,-,1224
YLR226W,XII,589354,590541,+,1188
YLR227C,XII,590562,592043,-,1482
tL(UAG)L1,XII;XII,592519;592582,592562;592619,-;-,82
YLR227W-B,XII;XII,593438;594744,594742;598706,+;+,5268
YLR227W-A,XII,593438,594760,+,1323
YLR228C,XII,600019,602463,-,2445
YLR229C,XII,604212,604787,-,576
YLR230W,XII,604574,604879,+,306
tI(UAU)L,XII;XII,605300;605396,605335;605432,-;-,73
YLR231C,XII,605758,607119,-,1362
YLR232W,XII,606830,607177,+,348
YLR233C,XII,607425,609524,-,2100
YLR234W,XII,609783,611753,+,1971
YLR235C,XII,611532,611930,-,399
YLR236C,XII,611794,612117,-,324
YLR237W,XII,612367,614163,+,1797
YLR238W,XII,614755,616191,+,1437
YLR239C,XII,616332,617318,-,987
YLR240W,XII,617533,620160,+,2628
YLR241W,XII,620473,622821,+,2349
YLR242C,XII,622918,623883,-,966
YLR243W,XII,624203,625021,+,819
YLR244C,XII,625168,626331,-,1164
YLR245C,XII,626502,626930,-,429
YLR246W,XII,627118,628197,+,1080
tL(CAA)L,XII;XII,628383;628454,628420;628497,+;+,82
YLR247C,XII,628684,633354,-,4671
YLR248W,XII,634252,636084,+,1833
